"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU_2551","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Unclassified_Hydrogenedensaceae","Unclassified_Hydrogenedensaceae"
"OTU_2552","Archaea","Thermoplasmatota","Thermoplasmata","Marine Benthic Group D and DHVEG-1","Unclassified_Marine Benthic Group D and DHVEG-1","Unclassified_Marine Benthic Group D and DHVEG-1","Unclassified_Marine Benthic Group D and DHVEG-1"
"OTU_2553","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales"
"OTU_2554","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","JdFR-76","Unclassified_JdFR-76"
"OTU_2555","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Unclassified_Bacteroidales","Unclassified_Bacteroidales","Unclassified_Bacteroidales"
"OTU_2556","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","AKAU3564 sediment group","Unclassified_AKAU3564 sediment group","Unclassified_AKAU3564 sediment group"
"OTU_2557","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus","Unclassified_Desulfobulbus"
"OTU_2558","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","Unclassified_WCHB1-41","Unclassified_WCHB1-41","Unclassified_WCHB1-41"
"OTU_2559","Bacteria","Proteobacteria","Gammaproteobacteria","Milano-WF1B-44","Unclassified_Milano-WF1B-44","Unclassified_Milano-WF1B-44","Unclassified_Milano-WF1B-44"
"OTU_2560","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Unclassified_Verrucomicrobiales","Unclassified_Verrucomicrobiales","Unclassified_Verrucomicrobiales"
"OTU_2561","Bacteria","Chloroflexi","Dehalococcoidia","GIF9","Unclassified_GIF9","Unclassified_GIF9","Unclassified_GIF9"
"OTU_2562","Bacteria","Actinobacteriota","Coriobacteriia","OPB41","Unclassified_OPB41","Unclassified_OPB41","Unclassified_OPB41"
"OTU_2563","Archaea","Thermoplasmatota","Thermoplasmata","Unclassified_Thermoplasmata","Unclassified_Thermoplasmata","Unclassified_Thermoplasmata","Unclassified_Thermoplasmata"
"OTU_2564","Bacteria","NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_2565","Bacteria","SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)"
"OTU_2566","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Microbulbiferaceae","Microbulbifer","Unclassified_Microbulbifer"
"OTU_2567","Bacteria","Planctomycetota","vadinHA49","Unclassified_vadinHA49","Unclassified_vadinHA49","Unclassified_vadinHA49","Unclassified_vadinHA49"
"OTU_2568","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified_Rhodobacteraceae","Unclassified_Rhodobacteraceae"
"OTU_2569","Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Unclassified_Latescibacteraceae","Unclassified_Latescibacteraceae"
"OTU_2570","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","Unclassified_Nitrosococcaceae","Unclassified_Nitrosococcaceae"
"OTU_2571","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_2572","Archaea","Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota"
"OTU_2573","Archaea","Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota"
"OTU_2574","Bacteria","NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_2575","Bacteria","Planctomycetota","Phycisphaerae","CCM11a","Unclassified_CCM11a","Unclassified_CCM11a","Unclassified_CCM11a"
