	BG1	BG13	BG7	C13_12	C13_15	C13_2	C13_5	C13_8	C14_10	C14_14	C14_2	C14_5	C15_10	C15_15	C15_2	C15_6	C16_10	C16_14	C16_2	C16_6	C17_2	C17_6	C17_9	C18_12	C18_16	C18_2	C18_4	C18_7	C19_10	C19_12	C19_2	C19_6	C20_10	C20_14	C20_2	C20_6	C21_10	C21_2	C21_4	C21_6	C22_2	C22_4	C22_6	C23_10	C23_2	C23_4	C23_6	C24_10	C24_14	C24_2	C24_4	C24_6	C25_0	C25_10	C25_15	C25_2	C25_6	C26_0	C26_10	C26_15	C26_2	C26_6	C27_10	C27_13	C27_2	C27_6	C28_10	C28_15	C28_2	C28_6	MAT1	MAT2	SG1	SG13	SG7	SSW	TZ1	TZ13	TZ7	TZF	WM1	WM11	WM13	WM3	WM5	WM7	WM9	WMF	blank
OTU_26	6	9	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1794	885	3	623	0	2	5	2	0	3	4	0	924	11	1	356	18	645	0	0	870	0	9	123	6	715	2215	1661	2	142	1115	166	326	0	3	0	1	211	265	60	63	23	249	396	58	260	0	0	0	0	0	0	0	0	0	0	2	4	4	0	4	4	84	6	1	0	0	0	0	0	0	4	0
OTU_27	49	205	129	77	138	99	123	239	247	192	248	277	91	28	217	97	0	0	174	0	75	77	63	524	220	153	229	217	0	0	5	0	196	445	283	392	0	31	9	1	28	0	0	15	110	7	0	687	1	468	623	407	72	5	7	253	188	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	121	273	345	1	47	16	4	24	4	0	1	2	0	9	0	35	0
OTU_28	1677	617	966	131	165	404	339	232	194	305	118	125	702	157	179	141	1	0	30	0	385	380	632	110	46	197	261	138	0	0	18	0	125	6	224	174	0	21	20	2	42	0	0	0	40	23	1	29	4	227	333	233	54	40	40	60	34	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2049	274	717	15	865	256	26	124	19	1	0	52	1	28	0	149	0
OTU_29	292	1026	723	83	86	137	196	250	136	86	214	117	199	52	179	94	0	1	0	0	155	103	100	259	66	60	78	98	0	0	0	0	4	0	24	39	0	1	0	1	1	0	0	0	6	1	0	3	0	64	151	101	17	2	1	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	583	881	5	122	59	9	102	11	0	6	0	0	17	0	116	0
OTU_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31	157	40	86	35	90	508	420	218	99	288	272	193	647	143	123	104	0	1	112	0	459	266	499	363	100	159	344	251	0	0	46	1	69	1	323	251	0	103	57	0	86	0	0	22	125	15	2	129	3	471	568	493	24	8	3	47	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	565	19	199	7	534	129	21	48	10	0	2	32	0	9	0	81	0
OTU_32	0	0	0	0	0	2	0	0	0	0	1	1	1	1	0	0	731	925	1	197	1	3	3	0	1	0	2	0	1927	1910	2	425	0	4	0	0	582	0	8	51	6	263	481	582	0	39	669	12	253	2	1	0	1	0	0	0	0	0	11	30	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
OTU_33	172	118	130	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	72	1	0	0	0	0	2	2	1	0	0	11	42	0	0	0	3	1	23	33	73	17	34	0	9	20	47	167	0	0	0	1	0	0	0	0	0	0	0	2	0	5	2	0	0	26	0	0	0	1	0	0	0	179	89	133	27	232	93	854	496	20	207	69	1358	2097	3817	1677	537	0
OTU_34	2931	456	1469	100	93	132	111	104	130	462	57	92	137	125	122	58	0	0	1	0	174	156	103	21	2	475	111	33	0	0	0	0	2	0	10	6	0	2	0	0	1	0	0	0	4	0	0	1	0	26	36	18	145	12	9	76	20	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1710	183	526	25	464	195	38	110	22	0	5	7	1	32	1	180	0
OTU_35	30	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	17	24	3	12	0	0	0	0	0	0	2	0	0	0	23	14	23	4	54	29	183	68	6	263	1	5153	4118	737	2262	104	0
