	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_4348	Bacteria	Dependentiae	Babeliae	Babeliales			
OTU_4349	Bacteria	Planctomycetota	Planctomycetes	Pirellulales			
OTU_4350							
OTU_4351	Bacteria	Planctomycetota	Phycisphaerae	C86			
OTU_4352	Bacteria	SAR324 clade(Marine group B)					
OTU_4353	Bacteria	Myxococcota	Polyangia	UASB-TL25			
OTU_4354							
OTU_4355	Bacteria	Planctomycetota	vadinHA49				
OTU_4356	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	
OTU_4357	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales			
OTU_4358	Bacteria	Chloroflexi	Dehalococcoidia				
OTU_4359	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
OTU_4360	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales			
OTU_4361	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41			
OTU_4362	Bacteria	Dependentiae	Babeliae				
OTU_4363	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Haloferula	
OTU_4364	Bacteria	Latescibacterota					
OTU_4365	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae		
OTU_4366	Bacteria	Myxococcota	Polyangia				
OTU_4367	Bacteria	Elusimicrobiota	Lineage IIb				
OTU_4368							
OTU_4369	Bacteria	Parcubacteria	GWA2-38-13b				
OTU_4370	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae		
OTU_4371	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae		
OTU_4372	Archaea	Nanoarchaeota					
OTU_4373	Bacteria	Proteobacteria	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus Tenderia	
OTU_4374	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales			
OTU_4376	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales			
OTU_4377	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
OTU_4378	Bacteria						
OTU_4379	Bacteria	Planctomycetota	Pla4 lineage				
OTU_4380	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	
OTU_4381	Bacteria	Myxococcota	Polyangia	UASB-TL25			
OTU_4382	Bacteria	Chloroflexi	Anaerolineae	ADurb.Bin180			
OTU_4383	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
OTU_4384	Bacteria	WS1					
OTU_4385	Bacteria	Modulibacteria	Moduliflexia	Moduliflexales	Moduliflexaceae		
OTU_4386	Archaea	Nanoarchaeota	Nanoarchaeia				
OTU_4387	Bacteria	Chloroflexi	Dehalococcoidia				
OTU_4388	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae		
OTU_4389	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4		
OTU_4390	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae		
OTU_4391	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564 sediment group		
OTU_4392	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	
OTU_4393	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales			
OTU_4394	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		
OTU_4395	Archaea	Nanoarchaeota	Nanoarchaeia				
